SMILES,Adduct,True CCS
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)O,[M+H]+,305.9
CCCCCCCCCC/C=C\CCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC[C@H](N)C(=O)O,[M+H]+,292.9
CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,[M+H]+,199.4
O=C(O)c1cc(O)ccc1O,[M-H]-,122.6723579
CCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)CO,[M-H]-,251.2
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,[M+H]+,289.05
OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,131.3
CN(CC(=O)O)C(=N)N,[M+H]+,125.95
CCCCCCCCCCCCCCCC(=O)O,[M-H]-,169.06
CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OCCN,[M-H]-,274.58
O=C(O)c1cc(=O)c2ccccc2o1,[M+H]+,134
Cn1cncc1C[C@H](NC(=O)CCN)C(=O)O,[M+H]+,154.1
[O-][n+]1cccc(CO)c1,[M+H]+,120.4
CCOC(=O)c1ccc(O)cc1,[M+H]+,125.4
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCC/C=C\C/C=C\C/C=C\CCCCC,[M-H]-,292.6
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O,[M-H]-,186.4
O=C(O)CCC(=O)O,[M-H]-,119.84
CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M+Na]+,281.03
CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](O)C1O)OC(=O)CCCCCCCCC/C=C\CCCCCCCCCC,[M-H]-,297.8
CCOC(=O)C1CC(=O)C(=C(O)C2CC2)C(=O)C1,[M+H]+,152.92
